r[0],r[1],r[2],t[0],t[1],t[2]
0,0,0,-0.252995,0.883005,0.395343
-0.252995,0.883005,0.395343,0.438139,0.864301,-0.24702
0.185144,1.74731,0.148324,0.445277,0.888503,-0.110863
0.630421,2.63581,0.0374608,0.575013,0.738017,-0.353116
1.20543,3.37383,-0.315655,0.962717,0.201842,-0.180097
2.16815,3.57567,-0.495752,0.828113,0.131158,-0.545001
2.99626,3.70683,-1.04075,0.561286,0.305585,-0.76914
3.55755,4.01241,-1.80989,0.511049,0.733164,-0.448664
4.0686,4.74558,-2.25856,0.589497,0.698505,0.405689
4.6581,5.44408,-1.85287,0.854425,0.517974,0.0407531
5.51252,5.96205,-1.81211,0.99848,0.0335184,0.0437475
6.511,5.99557,-1.76837,0.932457,0.100865,0.346917
7.44346,6.09644,-1.42145,0.844616,0.453929,0.283853
8.28807,6.55037,-1.1376,0.810863,0.314598,0.493488
9.09894,6.86497,-0.64411,0.469521,0.647723,0.600003
9.56846,7.51269,-0.0441067,0.0656519,0.609772,0.789853
9.63411,8.12246,0.745746,-0.302381,0.553068,0.776325
9.33173,8.67553,1.52207,-0.295217,0.611831,0.733833
9.03651,9.28736,2.2559,0.171656,0.880088,0.442695
9.20817,10.1674,2.6986,0.0132704,0.986304,0.164405
9.22144,11.1538,2.863,0.2155,0.827253,-0.518857
9.43694,11.981,2.34415,-0.349631,0.49468,-0.795644
9.08731,12.4757,1.5485,-0.319391,0.396185,-0.860829
8.76791,12.8719,0.687674,-0.848987,0.25488,-0.462878
7.91893,13.1267,0.224795,-0.88569,0.380406,-0.266167
7.03324,13.5072,-0.0413713,-0.997719,0.0662987,0.0127308
6.03552,13.5735,-0.0286405,-0.895875,0.306538,-0.321625
5.13964,13.88,-0.350265,-0.605025,0.412451,-0.681049
4.53462,14.2924,-1.03131,-0.718371,0.459793,-0.522047
3.81625,14.7522,-1.55336,-0.562042,0.283241,-0.7771
3.25421,15.0355,-2.33046,-0.536804,-0.0546286,-0.841937
2.7174,14.9808,-3.1724,-0.739686,-0.363625,-0.566252
1.97771,14.6172,-3.73865,-0.344522,-0.204696,-0.91619
1.63319,14.4125,-4.65484,-0.172717,-0.398285,-0.900854
1.46048,14.0142,-5.55569,-0.0445127,-0.732749,-0.679042
1.41596,13.2815,-6.23474,0.505616,-0.581785,-0.637086
1.92158,12.6997,-6.87182,0.407253,-0.143349,-0.901995
2.32883,12.5564,-7.77382,0.108884,-0.81322,-0.571679
2.43772,11.7431,-8.3455,0.298593,-0.399547,-0.86672
2.73631,11.3436,-9.21222,-0.252444,-0.413192,-0.874954
2.48387,10.9304,-10.0872,-0.282824,-0.0862044,-0.95529
2.20104,10.8442,-11.0425,-0.401144,-0.260962,-0.878056
1.7999,10.5832,-11.9205,-0.174535,-0.00862426,-0.984613
1.62536,10.5746,-12.9051,-0.44231,0.668334,-0.598072
1.18305,11.2429,-13.5032,-0.642262,0.508481,-0.573539
0.540791,11.7514,-14.0767,-0.660565,0.637283,-0.396894
-0.119774,12.3887,-14.4736,-0.400459,0.842508,-0.360295
-0.520233,13.2312,-14.8339,-0.100222,0.761949,-0.639836
-0.620454,13.9932,-15.4738,0.0853078,0.77301,-0.628632
-0.535147,14.7662,-16.1024,0.0769552,0.78313,-0.617078
-0.458191,15.5493,-16.7195,0.0640562,0.895208,-0.44102
-0.394135,16.4445,-17.1605,-0.125286,0.990751,0.0521156
-0.519421,17.4353,-17.1084,0.0795892,0.928159,0.363575
-0.439832,18.3634,-16.7448,0.166785,0.96341,0.209821
-0.273047,19.3268,-16.535,0.14466,0.941469,0.304484
-0.128388,20.2683,-16.2305,0.377655,0.915221,0.140526
0.249268,21.1835,-16.09,0.640789,0.759996,-0.108604
0.890057,21.9435,-16.1986,0.701139,0.710595,0.0588119
1.5912,22.6541,-16.1398,0.586294,0.794454,-0.158436
2.17749,23.4486,-16.2982,0.876487,0.289723,-0.384489
3.05398,23.7383,-16.6827,0.972445,0.16401,-0.165687
4.02642,23.9023,-16.8484,0.993492,-0.088684,-0.0714763
5.01991,23.8136,-16.9199,0.994119,0.00512911,-0.108168
6.01403,23.8187,-17.028,0.878545,-0.458067,-0.135404
6.89258,23.3607,-17.1634,0.939809,-0.319386,-0.121455
7.83239,23.0413,-17.2849,0.883118,-0.355296,-0.306379
8.7155,22.686,-17.5913,0.993897,0.095042,-0.0559935
9.7094,22.781,-17.6473,0.901356,0.410864,0.136925
10.6108,23.1919,-17.5103,0.980877,-0.0295646,0.19237
11.5916,23.1623,-17.318,0.973511,-0.160209,0.163122
12.5651,23.0021,-17.1548,0.966898,0.18477,0.175978
13.532,23.1869,-16.9789,0.930369,0.176406,0.321395
14.4624,23.3633,-16.6575,0.760986,0.49557,0.418701
15.2234,23.8589,-16.2388,0.602069,0.738799,0.302801
15.8255,24.5977,-15.936,0.894254,0.373117,0.247173
16.7197,24.9708,-15.6888,0.922227,0.386517,-0.0100709
17.6419,25.3573,-15.6989,0.764686,0.616602,-0.187237
18.4066,25.9739,-15.8861,0.181044,0.943669,-0.276969
18.5877,26.9176,-16.1631,0.536179,0.843792,-0.0229751
19.1239,27.7614,-16.186,0.489377,0.868829,0.0751402
19.6132,28.6302,-16.1109,0.444365,0.744414,0.498385
20.0576,29.3746,-15.6125,0.421767,0.734784,0.531231
20.4794,30.1094,-15.0813,0.735967,0.657914,0.159689
21.2153,30.7673,-14.9216,0.635984,0.726449,0.260379
21.8513,31.4938,-14.6612,0.358926,0.703398,0.613517
22.2102,32.1972,-14.0477,0.00511332,0.717018,0.697036
22.2154,32.9142,-13.3507,0.0894346,0.843564,0.529529
22.3048,33.7577,-12.8211,0.223568,0.81486,0.534809
22.5284,34.5726,-12.2863,0.031601,0.896774,0.441358
22.56,35.4694,-11.845,0.254869,0.733828,0.629712
22.8148,36.2032,-11.2153,0.268612,0.378379,0.88582
23.0834,36.5816,-10.3294,-0.0327034,0.389405,0.920486
23.0507,36.971,-9.40895,0.0146315,0.380174,0.924799
23.0654,37.3512,-8.48415,0.216779,0.69643,0.684099
23.2821,38.0476,-7.80005,-0.0391249,0.280912,0.958936
23.243,38.3285,-6.84112,-0.484121,0.221804,0.846421
22.7589,38.5503,-5.9947,-0.152893,-0.197075,0.968393
22.606,38.3532,-5.0263,-0.16034,-0.238924,0.957709
22.4457,38.1143,-4.06859,-0.502809,0.0796564,0.86072
21.9429,38.194,-3.20787,-0.864308,0.167878,0.474119
21.0786,38.3618,-2.73376,0,0,0